	DateTime	Comments	AIR_TEMPERATURE	AIR_TEMPERATURE_err	AIR_PRESSURE	AIR_PRESSURE_err	RAIN	RAIN_err	LIGHT_LX	LIGHT_LX_err	UV	UV_err	V1_state	V1_state_err	V2_state	V2_state_err	V3_state	V3_state_err	V4_state	V4_state_err	V5_state	V5_state_err	V6_state	V6_state_err	V7_state	V7_state_err	V8_state	V8_state_err	PUMP_PROBE_state	PUMP_PROBE_state_err	PUMP_VENTILATION_state	PUMP_VENTILATION_state_err	AIR_FLOW	AIR_FLOW_err	LATITUDE	LATITUDE_err	LONGITUDE	LONGITUDE_err	SPEED	SPEED_err	COURSE	COURSE_err	RELEY_1	RELEY_1_err	RELEY_2	RELEY_2_err	RELEY_3	RELEY_3_err	RELEY_4	RELEY_4_err	WATER_FLOW_1	WATER_FLOW_1_err	WATER_FLOW_2	WATER_FLOW_2_err	WATER_FLOW_3	WATER_FLOW_3_err	WATER_FLOW_4	WATER_FLOW_4_err	TEMP_DS1	TEMP_DS1_err	TEMP_DS2	TEMP_DS2_err	TEMP_DS3	TEMP_DS3_err	METEO_LEVEL	METEO_LEVEL_err	METEO_PRESS	METEO_PRESS_err	METEO_TIME	METEO_TIME_err	METEO_TEMP	METEO_TEMP_err	METEO_HUM	METEO_HUM_err	METEO_SOLAR	METEO_SOLAR_err	METEO_WIND_DIR	METEO_WIND_DIR_err	METEO_WIND_SPEED	METEO_WIND_SPEED_err	METEO_WIND_SPEED_MAX	METEO_WIND_SPEED_MAX_err	METEO_RAIN	METEO_RAIN_err	PICARRO_CO2	PICARRO_CO2_err	PICARRO_CH4	PICARRO_CH4_err	PICARRO_H2O	PICARRO_H2O_err	NX_B	NX_B_err	KFA_B	KFA_B_err	NX_G	NX_G_err	KFA_G	KFA_G_err	NX_R	NX_R_err	KFA_R	KFA_R_err
6196	2024-03-20 09:06:20		8.82289	0.136559	95770.1	1.48673	0.0	0.0	18800.0	0.0	54.1591	0.369989	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.519318	0.00254972	51.8997	2.02696e-05	105.064	1.06695e-05	0.214067	0.115737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.026	0.102545	5.883	0.0411096	0.0	0.0	0.0	0.0	2.22	0.0316228	0.666	0.0309839	30.09	0.0316228	2953.09	0.0910442	716.962	0.0035817	1710900000.0	6.20484															366.379		12.6588		0.6694													
6197	2024-03-20 09:06:40		9.19432	0.0823887	95767.3	2.32931	0.0	0.0	18800.0	0.0	55.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.519773	0.00150756	51.8996	5.43621e-06	105.064	8.34266e-06	0.151067	0.097207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.852	0.134313	5.814	0.0722957	0.0	0.0	0.0	0.0	2.196	0.0189737	0.66	0.0316228	30.108	0.0252982	2952.95	0.198364	716.963	0.00806862	1710900000.0	5.91608															365.425		12.7905		0.6694													
6198	2024-03-20 09:07:00		9.47568	0.0744717	95762.7	2.19743	0.0	0.0	18800.0	0.0	55.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.518636	0.00347142	51.8996	4.27618e-06	105.064	5.40899e-06	0.0834667	0.0416531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.748	0.134313	5.856	0.0442719	0.0	0.0	0.0	0.0	2.232	0.0493964	0.666	0.0309839	30.134	0.0295146	2952.55	0.0673248	716.968	0.00621776	1710900000.0	6.20781															369.584	2.52423	12.8404	0.00940452	0.6694	0.0												
6199	2024-03-20 09:07:20		9.674	0.0534875	95760.7	2.11492	0.0	0.0	19939.6	705.95	55.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.518667	0.00343776	51.8997	1.36147e-05	105.064	9.93027e-06	0.106588	0.0634656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.068	0.220897	5.786	0.0722957	0.0	0.0	0.0	0.0	2.232	0.0289828	0.641	0.0401248	30.189	0.0307137	2952.57	0.0515638	716.947	0.00327448	1710900000.0	5.33854															375.29		12.8356		0.6694													
6200	2024-03-20 09:07:40		9.80864	0.0274151	95758.6	1.75956	0.0	0.0	20367.0	0.0	55.0455	0.210707	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.519318	0.00254972	51.8997	4.20361e-06	105.064	5.33288e-06	0.165643	0.10134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.787	0.157343	5.759	0.0864677	0.0	0.0	0.0	0.0	2.202	0.0379473	0.636	0.0189737	30.196	0.0189737	2952.53	0.10268	716.945	0.00311659	1710900000.0	6.36169			83.9		256.66		173.0		0.4		0.9		0.0		378.18		12.7885		0.6694													
6201	2024-03-20 09:08:00		9.85205	0.00509425	95755.3	1.93015	0.0	0.0	20367.0	0.0	56.0889	0.514438	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.519333	0.00252262	51.8997	1.02781e-05	105.064	6.03117e-06	0.201588	0.121491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.787	0.488605	5.772	0.0676264	0.0	0.0	0.0	0.0	2.208	0.0289828	0.635	0.0362859	30.208	0.0289828	2952.34	0.0948614	716.958	0.00616014	1710900000.0	5.91608															379.667		12.6991		0.6694													
6202	2024-03-20 09:08:20		9.81364	0.0234363	95758.0	2.13963	0.0	0.0	20367.0	0.0	56.25	0.438019	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.518409	0.00369989	51.8997	2.04886e-05	105.064	4.41289e-14	0.285267	0.171125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.266	0.154934	5.772	0.0676264	0.0	0.0	0.0	0.0	2.238	0.0252982	0.642	0.0252982	30.148	0.0361478	2952.5	0.0816176	716.948	0.00429341	1710900000.0	6.20484															379.004	0.44081	12.6758		0.6694													
6203	2024-03-20 09:08:40		9.67432	0.0665564	95756.9	1.44077	0.0	0.0	20367.0	0.0	56.7727	0.642076	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.518864	0.00321038	51.8996	7.17606e-06	105.064	0.0	0.245188	0.132323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.478	0.0671317	5.786	0.0722957	0.0	0.0	0.0	0.0	2.244	0.0340588	0.642	0.0252982	30.189	0.0307137	2952.13	0.121634	716.958	0.00646989	1710900000.0	5.33854															381.605		12.5981	0.0746705	0.6694	0.0												
6204	2024-03-20 09:09:00		9.434	0.0557755	95759.7	2.27355	0.0	0.0	20367.0	0.0	57.2667	0.447214	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.519556	0.00208409	51.8996	5.23927e-06	105.064	3.41565e-06	0.1356	0.0791507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.413	0.0959224	5.814	0.0722957	0.0	0.0	0.0	0.0	2.28	0.0316228	0.642	0.0252982	30.109	0.0401248	2952.1	0.167321	716.957	0.00993766	1710900000.0	6.20484															384.368		12.1601		0.6694													
6205	2024-03-20 09:09:20		9.29227	0.0513023	95762.4	1.58534	0.0	0.0	20367.0	0.0	57.2273	0.423915	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.519773	0.00150756	51.8996	9.13864e-06	105.064	8.04562e-06	0.120944	0.070324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.348	0.0671317	5.842	0.0590292	0.0	0.0	0.0	0.0	2.274	0.0309839	0.666	0.0309839	30.072	0.0252982	2952.0	0.0883474	716.955	0.00761508	1710900000.0	5.91608															386.43		11.7109		0.6694													
